RefSeq_ID,Protein_ID,Gene_ID,Uniprot_ID,BVBRC_ID,PUBMLST_locus
NGO0340,YP_207497.1,3281741,Q5F9Q2,fig|242231.10.peg.413,NEIS0715
NGO0342,YP_207498.1,3281770,Q5F9Q1,fig|242231.10.peg.418,NEIS2592
NGO0343,YP_207499.1,3281755,Q5F9Q0,fig|242231.10.peg.419,NEIS0718
NGO0344,YP_207500.1,3281791,Q5F9P9,fig|242231.10.peg.420,NEIS0719
NGO0345,YP_207501.1,3281177,Q5F9P8,fig|242231.10.peg.421,NEIS0720
NGO0346,YP_207502.1,3283037,#N/A,fig|242231.10.peg.422,NEIS0721
NGO0347,YP_207503.1,3281191,Q5F9P6,fig|242231.10.peg.423,NEIS0722
NGO0348,YP_207504.1,3281205,Q5F9P5,fig|242231.10.peg.424,NEIS0723
NGO0349,YP_207505.1,3281194,Q5F9P4,fig|242231.10.peg.425,NEIS0724
NGO0350,YP_207506.1,3281211,Q5F9P3,fig|242231.10.peg.426,NEIS2381
NGO0351,YP_207507.1,3281239,Q5F9P2,fig|242231.10.peg.427,NEIS0726
NGO0352,YP_207508.1,3281226,Q5F9P1,fig|242231.10.peg.428,#N/A
NGO0353,YP_207509.1,3281240,Q5F9P0,fig|242231.10.peg.429,NEIS0727
NGO0354,YP_207510.1,3281257,Q5F9N9,fig|242231.10.peg.430,NEIS0728
NGO0355,YP_207511.1,3283036,#N/A,#N/A,#N/A
NGO0356,YP_207512.1,3283035,Q5F9N7,fig|242231.10.peg.431,NEIS2593
NGO0357,YP_207513.1,3283034,Q5F9N6,fig|242231.10.peg.432,NEIS2594
NGO0358,YP_207514.1,3283033,#N/A,fig|242231.10.peg.433,NEIS0729
NGO0359,YP_207515.1,3283032,Q5F9N4,fig|242231.10.peg.434,NEIS0730
NGO0360,YP_207516.1,3283031,#N/A,fig|242231.10.peg.435,NEIS0731
NGO0361,YP_207517.1,3283029,Q5F9N2,fig|242231.10.peg.436,NEIS0732
NGO0362,YP_207518.1,3283028,Q5F9N1,fig|242231.10.peg.437,NEIS0733
NGO0363,YP_207519.1,3283030,Q5F9N0,fig|242231.10.peg.439,NEIS2595
NGO0364,YP_207520.1,3283027,Q5F9M9,fig|242231.10.peg.440,NEIS2596
NGO0365,YP_207521.1,3283023,Q5F9M8,fig|242231.10.peg.441,NEIS2597
NGO0366,YP_207522.1,3283026,Q5F9M7,#N/A,NEIS2598
NGO0367,YP_207523.1,3283025,Q5F9M6,fig|242231.10.peg.442,NEIS0734
NGO0368,YP_207524.1,3283024,#N/A,fig|242231.10.peg.445,NEIS0735
NGO0369,YP_207525.1,3282004,#N/A,fig|242231.10.peg.447,NEIS0736
NGO0370,YP_207526.1,3282190,Q5F9M3,fig|242231.10.peg.448,NEIS0737
NGO0371,YP_207527.1,3282189,Q5F9M2,fig|242231.10.peg.449,NEIS0738
NGO0372,YP_207528.1,3283022,#N/A,fig|242231.10.peg.451,NEIS0739
NGO0373,YP_207529.1,3282174,Q5F9M0,fig|242231.10.peg.452,NEIS0741
NGO0374,YP_207530.1,3282185,Q5F9L9,fig|242231.10.peg.453,NEIS0742
NGO0375,YP_207531.1,3281907,Q5F9L8,fig|242231.10.peg.454,NEIS0743
NGO0376,YP_207532.1,3281821,Q5F9L7,fig|242231.10.peg.455,NEIS0744
NGO0377,YP_207533.1,3281910,Q5F9L6,fig|242231.10.peg.456,NEIS0745
NGO0378,YP_207534.1,3281961,Q5F9L5,fig|242231.10.peg.457,NEIS0746
NGO0379,YP_207535.1,3282007,Q5F9L4,fig|242231.10.peg.459,NEIS0747
NGO0380,YP_207536.1,3282112,Q5F9L3,fig|242231.10.peg.460,NEIS0748
NGO0381,YP_207537.1,3282153,#N/A,fig|242231.10.peg.461,NEIS0749
NGO0382,YP_207538.1,3282447,Q5F9L1,fig|242231.10.peg.462,NEIS0750
NGO0383,YP_207539.1,3282537,Q5F9L0,fig|242231.10.peg.463,NEIS0751
NGO0384,YP_207540.1,3282564,Q5F9K9,fig|242231.10.peg.464,NEIS0752
NGO0385,YP_207541.1,3281079,#N/A,fig|242231.10.peg.466,NEIS0753
NGO0386,YP_207542.1,3281083,Q5F9K7,fig|242231.10.peg.467,NEIS0754
NGO0387,YP_207543.1,3282560,Q5F9K6,fig|242231.10.peg.468,NEIS0755
NGO0388,YP_207544.1,3283020,Q5F9K5,fig|242231.10.peg.469,NEIS0756
NGO0389,YP_207545.1,3283021,Q5F9K4,fig|242231.10.peg.470,NEIS0757
NGO0390,YP_207546.1,3283019,Q5F9K3,fig|242231.10.peg.471,NEIS0758
NGO0391,YP_207547.1,3283018,Q5F9K2,fig|242231.10.peg.472,NEIS0759
NGO0392,YP_207548.1,3283017,Q5F9K1,fig|242231.10.peg.473,NEIS0760
NGO0393,YP_207549.1,3283016,Q5F9K0,fig|242231.10.peg.474,NEIS0761
NGO0394,YP_207550.1,3283015,Q5F9J9,fig|242231.10.peg.475,NEIS0762
NGO0395,YP_207551.1,3283014,Q5F9J8,fig|242231.10.peg.476,NEIS0763
NGO0396,YP_207552.1,3283013,#N/A,#N/A,#N/A
NGO0397,YP_207553.1,3283012,Q5F9J6,fig|242231.10.peg.478,NEIS0764
NGO0398,YP_207554.1,3283011,Q5F9J5,fig|242231.10.peg.479,NEIS0765
NGO0399,YP_207555.1,3283010,Q5F9J4,fig|242231.10.peg.480,NEIS0766
NGO0400,YP_207556.1,3283009,Q5F9J3,fig|242231.10.peg.482,NEIS0767
NGO0401,YP_207557.1,3283006,Q5F9J2,fig|242231.10.peg.483,NEIS0768
NGO0402,YP_207558.1,3283008,#N/A,fig|242231.10.peg.484,NEIS0769
NGO0403,YP_207559.1,3283007,Q5F9J0,fig|242231.10.peg.485,NEIS0773
NGO0404,YP_207560.1,3283005,Q5F9I9,fig|242231.10.peg.486,NEIS2361
NGO0405,YP_207561.1,3283004,Q5F9I8,fig|242231.10.peg.487,NEIS2599
NGO0407,YP_207562.1,3282183,Q5F9I7,fig|242231.10.peg.490,NEIS2391
NGO0408,YP_207563.1,3281945,Q5F9I6,fig|242231.10.peg.491,NEIS0774
NGO0409,YP_207564.1,3282076,Q5F9I5,fig|242231.10.peg.492,NEIS0775
NGO0410,YP_207565.1,3282233,Q5F9I4,fig|242231.10.peg.493,NEIS0776
NGO0411,YP_207566.1,3282532,Q5F9I3,fig|242231.10.peg.494,NEIS0777
NGO0412,YP_207567.1,3282558,Q5F9I2,fig|242231.10.peg.495,NEIS0778
NGO0413,YP_207568.1,3283003,Q5F9I1,fig|242231.10.peg.496,NEIS0779
NGO0414,YP_207569.1,3283002,Q5F9I0,fig|242231.10.peg.497,NEIS0780
NGO0415,YP_207570.1,3283001,Q5F9H9,fig|242231.10.peg.498,NEIS0781
NGO0416,YP_207571.1,3283000,Q5F9H8,fig|242231.10.peg.499,NEIS0782
NGO0417,YP_207572.1,3282999,Q5F9H7,fig|242231.10.peg.500,NEIS0784
NGO0418,YP_207573.1,3282998,#N/A,fig|242231.10.peg.501,NEIS2846
NGO0419,YP_207574.1,3282997,Q5F9H5,fig|242231.10.peg.502,#N/A
NGO0420,YP_207575.1,3282996,Q5F9H4,fig|242231.10.peg.504,NEIS0788
NGO0421,YP_207576.1,3282995,Q5F9H3,fig|242231.10.peg.505,NEIS0789
NGO0422,YP_207577.1,3282580,#N/A,fig|242231.10.peg.506,#N/A
NGO0423,YP_207578.1,3282581,O87408,fig|242231.10.peg.507,NEIS0791
NGO0424,YP_207579.1,3282582,O87407,fig|242231.10.peg.508,NEIS0792
NGO0425,YP_207580.1,3282171,O87406,fig|242231.10.peg.509,NEIS0793
NGO0426,YP_207581.1,3282181,Q5F9G8,fig|242231.10.peg.510,NEIS0794
NGO0427,YP_207582.1,3281937,Q5F9G7,fig|242231.10.peg.512,#N/A
NGO0428,YP_207583.1,3281815,Q5F9G6,fig|242231.10.peg.513,NEIS2881
NGO0429,YP_207584.1,3281923,Q5F9G5,fig|242231.10.peg.514,NEIS3238
NGO0430,YP_207585.1,3281991,Q5F9G4,fig|242231.10.peg.516,NEIS0803
NGO0432,YP_207586.1,3281996,Q5F9G3,fig|242231.10.peg.517,NEIS0807S
NGO0433,YP_207587.1,3282061,Q5F9G2,fig|242231.10.peg.518,NEIS0808
NGO0434,YP_207588.1,3282098,Q5F9G1,fig|242231.10.peg.519,NEIS0809
NGO0435,YP_207589.1,3282074,Q5F9G0,fig|242231.10.peg.520,NEIS0810
NGO0436,YP_207590.1,3282104,Q5F9F9,fig|242231.10.peg.521,NEIS0811
NGO0437,YP_207591.1,3282128,Q5F9F8,fig|242231.10.peg.523,NEIS0812
NGO0439,YP_207592.1,3282511,Q5F9F7,fig|242231.10.peg.526,NEIS0814
NGO0440,YP_207593.1,3282196,Q5F9F6,fig|242231.10.peg.527,NEIS0815
NGO0441,YP_207594.1,3282428,Q5F9F5,fig|242231.10.peg.528,NEIS0816
NGO0442,YP_207595.1,3282298,Q5F9F4,fig|242231.10.peg.529,NEIS0817
NGO0443,YP_207596.1,3282456,Q5F9F3,fig|242231.10.peg.530,NEIS0818
NGO0444,YP_207597.1,3281086,Q5F9F2,fig|242231.10.peg.531,NEIS0819
NGO0445,YP_207598.1,3281417,Q5F9F1,fig|242231.10.peg.532,NEIS0820
NGO0446,YP_207599.1,3281095,Q5F9F0,fig|242231.10.peg.534,NEIS0821
NGO0448,YP_207600.1,3281655,Q5F9E9,fig|242231.10.peg.536,NEIS0823
NGO0449,YP_207601.1,3282994,Q5F9E8,fig|242231.10.peg.538,NEIS0824
NGO0451,YP_207602.1,3282993,Q5F9E7,fig|242231.10.peg.541,NEIS0826
NGO0452,YP_207603.1,3282992,Q5F9E6,fig|242231.10.peg.542,NEIS0827
NGO0453,YP_207604.1,3282991,Q5F9E5,fig|242231.10.peg.543,NEIS0828
NGO0454,YP_207605.1,3282990,Q5F9E4,fig|242231.10.peg.544,NEIS0829
NGO0455,YP_207606.1,3282989,Q5F9E3,fig|242231.10.peg.545,NEIS0830
NGO0456,YP_207607.1,3282988,Q5F9E2,fig|242231.10.peg.546,NEIS0831
NGO0457,YP_207608.1,3282987,Q5F9E1,fig|242231.10.peg.547,NEIS2600
NGO0459,YP_207609.1,3282986,Q5F9E0,fig|242231.10.peg.550,NEIS0833
NGO0460,YP_207610.1,3282985,Q5F9D9,fig|242231.10.peg.551,NEIS0834
NGO0461,YP_207611.1,3282984,Q5F9D8,fig|242231.10.peg.552,NEIS0835
NGO0462,YP_207612.1,3282983,Q5F9D7,fig|242231.10.peg.553,NEIS0836
NGO0463,YP_207613.1,3283077,Q5F9D6,fig|242231.10.peg.554,NEIS2601
NGO0464,YP_207614.1,3282982,Q5F9D5,fig|242231.10.peg.555,NEIS2602
NGO0465,YP_207615.1,3282981,Q5F9D4,fig|242231.10.peg.556,NEIS2603
NGO0466,YP_207616.1,3282974,Q5F7P1,fig|242231.10.peg.557,NEIS2604
NGO0467,YP_207617.1,3282980,Q5F9D2,fig|242231.10.peg.558,NEIS2605
NGO0468,YP_207618.1,3282979,Q5F7P3,fig|242231.10.peg.559,#N/A
NGO0469,YP_207619.1,3282978,Q5F7P4,fig|242231.10.peg.560,NEIS2606
NGO0470,YP_207620.1,3282976,Q5F7P5,fig|242231.10.peg.561,#N/A
NGO0471,YP_207621.1,3283076,#N/A,fig|242231.10.peg.562,#N/A
NGO0472,YP_207622.1,3282975,#N/A,fig|242231.10.peg.563,NEIS2607
NGO0473,YP_207623.1,3282977,Q5F7P8,fig|242231.10.peg.564,NEIS2608
NGO0474,YP_207624.1,3282973,Q5F7P9,fig|242231.10.peg.565,NEIS2609
NGO0475,YP_207625.1,3282972,Q5F9C4,fig|242231.10.peg.566,NEIS2610
NGO0476,YP_207626.1,3282968,Q5F9C3,#N/A,NEIS2611
NGO0477,YP_207627.1,3282971,#N/A,fig|242231.10.peg.567,#N/A
NGO0478,YP_207628.1,3282970,Q5F9C1,fig|242231.10.peg.568,NEIS2612
NGO0479,YP_207629.1,3282967,Q5F9C0,fig|242231.10.peg.569,NEIS2613
NGO0480,YP_207630.1,3282966,Q5F7Q6,fig|242231.10.peg.570,#N/A
NGO0481,YP_207631.1,3282969,Q5F7Q7,fig|242231.10.peg.571,#N/A
NGO0482,YP_207632.1,3282965,#N/A,#N/A,#N/A
NGO0483,YP_207633.1,3282964,Q5F7Q8,fig|242231.10.peg.572,NEIS2614
NGO0484,YP_207634.1,3282963,#N/A,fig|242231.10.peg.574,NEIS2615
NGO0485,YP_207635.1,3282962,Q5F9B4,fig|242231.10.peg.575,NEIS2616
NGO0486,YP_207636.1,3282961,#N/A,fig|242231.10.peg.576,#N/A
NGO0487,YP_207637.1,3282960,Q5F7R2,fig|242231.10.peg.577,NEIS2617
NGO0488,YP_207638.1,3282959,Q5F9B1,fig|242231.10.peg.579,#N/A
NGO0489,YP_207639.1,3282958,#N/A,fig|242231.10.peg.581,NEIS2618
NGO0490,YP_207640.1,3282957,Q5F9A9,#N/A,NEIS2619
NGO0491,YP_207641.1,3283074,Q5F9A8,fig|242231.10.peg.583,NEIS2620
NGO0492,YP_207642.1,3282956,Q5F9A7,fig|242231.10.peg.584,NEIS2621
NGO0493,YP_207643.1,3282955,Q5F9A6,fig|242231.10.peg.585,#N/A
NGO0494,YP_207644.1,3282938,Q5F9A5,fig|242231.10.peg.586,NEIS2622
NGO0495,YP_207645.1,3282954,Q5F9A4,fig|242231.10.peg.588,NEIS2623
NGO0496,YP_207646.1,3282953,Q5F9A3,fig|242231.10.peg.589,NEIS2624
NGO0497,YP_207647.1,3282952,Q5F9A2,fig|242231.10.peg.590,#N/A
NGO0498,YP_207648.1,3282951,Q5F9A1,fig|242231.10.peg.591,NEIS2625
NGO0499,YP_207649.1,3282950,Q5F9A0,fig|242231.10.peg.592,NEIS2626
NGO0500,YP_207650.1,3282949,Q5F999,fig|242231.10.peg.593,NEIS2627
NGO0501,YP_207651.1,3282948,#N/A,fig|242231.10.peg.594,#N/A
NGO0502,YP_207652.1,3282947,Q5F997,fig|242231.10.peg.595,NEIS2628
NGO0503,YP_207653.1,3282946,Q5F996,fig|242231.10.peg.596,NEIS2629
NGO0504,YP_207654.1,3282945,Q5F995,fig|242231.10.peg.597,NEIS2630
NGO0505,YP_207655.1,3282944,Q5F994,fig|242231.10.peg.598,NEIS2631
NGO0506,YP_207656.1,3282943,Q5F993,fig|242231.10.peg.599,NEIS2632
NGO0507,YP_207657.1,3282942,Q5F992,fig|242231.10.peg.600,NEIS2633
NGO0508,YP_207658.1,3282941,Q5F991,fig|242231.10.peg.601,NEIS2634
NGO0509,YP_207659.1,3282940,Q5F990,fig|242231.10.peg.602,NEIS2635
NGO0510,YP_207660.1,3282939,Q5F989,fig|242231.10.peg.603,NEIS2636
NGO0511,YP_207661.1,3282937,Q5F988,fig|242231.10.peg.605,NEIS2637
NGO0512,YP_207662.1,3282936,#N/A,#N/A,#N/A
NGO0513,YP_207663.1,3282935,Q5F986,fig|242231.10.peg.606,NEIS2638
NGO0514,YP_207664.1,3282934,Q5F985,fig|242231.10.peg.607,NEIS2639
NGO0515,YP_207665.1,3282933,Q5F984,fig|242231.10.peg.608,NEIS2640
NGO0516,YP_207666.1,3282932,Q5F983,fig|242231.10.peg.609,NEIS2641
NGO0517,YP_207667.1,3282931,Q5F982,fig|242231.10.peg.610,NEIS2642
NGO0518,YP_207668.1,3282930,Q5F981,fig|242231.10.peg.611,NEIS2643
NGO0519,YP_207669.1,3282929,Q5F6B0,fig|242231.10.peg.612,#N/A
NGO0520,YP_207670.1,3282925,#N/A,#N/A,#N/A
NGO0521,YP_207671.1,3282928,Q5F978,fig|242231.10.peg.616,#N/A
NGO0522,YP_207672.1,3282926,Q5F977,fig|242231.10.peg.617,NEIS2644
NGO0523,YP_207673.1,3282927,Q5F976,fig|242231.10.peg.618,NEIS0839
NGO0524,YP_207674.1,3282923,Q5F975,fig|242231.10.peg.619,NEIS2645
NGO0525,YP_207675.1,3282924,Q5F974,fig|242231.10.peg.620,#N/A
NGO0526,YP_207676.1,3282922,Q5F973,fig|242231.10.peg.621,NEIS1152
NGO0527,YP_207677.1,3282921,#N/A,#N/A,#N/A
NGO0528,YP_207678.1,3282920,Q5F971,fig|242231.10.peg.623,#N/A
NGO0529,YP_207679.1,3282919,#N/A,fig|242231.10.peg.624,NEIS1208
NGO0530,YP_207680.1,3282918,Q5F969,fig|242231.10.peg.625,NEIS1207
NGO0531,YP_207681.1,3282917,#N/A,fig|242231.10.peg.626,#N/A
NGO0532,YP_207682.1,3282916,Q5F967,fig|242231.10.peg.627,NEIS1205
NGO0533,YP_207683.1,3282914,Q5F966,fig|242231.10.peg.628,NEIS1204
NGO0534,YP_207684.1,3282915,Q5F965,fig|242231.10.peg.629,NEIS1203
NGO0537,YP_207685.1,3282913,#N/A,fig|242231.10.peg.633,NEIS1202
NGO0539,YP_207686.1,3282912,Q5F963,fig|242231.10.peg.636,NEIS1200
NGO0541,YP_207687.1,3282911,#N/A,fig|242231.10.peg.638,NEIS1198
NGO0542,YP_207688.1,3282910,Q5F961,fig|242231.10.peg.639,NEIS1197
NGO0543,YP_207689.1,3282909,Q5F960,fig|242231.10.peg.640,NEIS1196
NGO0544,YP_207690.1,3282908,Q5F959,fig|242231.10.peg.641,NEIS1195
NGO0545,YP_207691.1,3282907,Q5F958,fig|242231.10.peg.642,NEIS1194
NGO0546,YP_207692.1,3282114,Q5F957,fig|242231.10.peg.644,NEIS1193
NGO0547,YP_207693.1,3282109,Q5F956,fig|242231.10.peg.645,NEIS1192
NGO0548,YP_207694.1,3282117,#N/A,fig|242231.10.peg.646,NEIS1191
NGO0549,YP_207695.1,3282121,Q5F954,fig|242231.10.peg.647,NEIS1190
NGO0550,YP_207696.1,3282124,Q5F953,fig|242231.10.peg.648,NEIS1189
NGO0551,YP_207697.1,3282125,Q5F952,fig|242231.10.peg.649,NEIS1188
NGO0552,YP_207698.1,3282119,Q5F951,fig|242231.10.peg.650,NEIS1186
NGO0553,YP_207699.1,3282081,Q5F950,fig|242231.10.peg.651,NEIS2646
NGO0554,YP_207700.1,3282103,Q5F949,fig|242231.10.peg.652,NEIS2647
NGO0555,YP_207701.1,3282453,Q5F948,fig|242231.10.peg.654,NEIS2648
NGO0556,YP_207702.1,3282149,Q5F947,fig|242231.10.peg.655,NEIS1185
NGO0557,YP_207703.1,3282455,Q5F946,fig|242231.10.peg.656,NEIS2649
NGO0558,YP_207704.1,3282459,Q5F945,fig|242231.10.peg.657,NEIS1183
NGO0559,YP_207705.1,3282463,Q5F8T7,fig|242231.10.peg.659,#N/A
NGO0561,YP_207706.1,3282165,Q5F943,fig|242231.10.peg.664,NEIS1281
NGO0562,YP_207707.1,3282471,Q5F942,fig|242231.10.peg.666,NEIS1280
NGO0563,YP_207708.1,3282906,Q5F941,#N/A,NEIS2492
NGO0564,YP_207709.1,3282469,Q5F940,fig|242231.10.peg.667,NEIS1279
NGO0565,YP_207710.1,3282501,Q5F939,fig|242231.10.peg.668,NEIS1278
NGO0566,YP_207711.1,3282489,Q5F938,fig|242231.10.peg.669,NEIS1277
NGO0567,YP_207712.1,3282504,Q5F937,fig|242231.10.peg.670,NEIS1276
NGO0568,YP_207713.1,3282493,Q5F936,fig|242231.10.peg.671,NEIS1275
NGO0569,YP_207714.1,3282197,Q5F935,fig|242231.10.peg.672,NEIS1274
NGO0570,YP_207715.1,3282519,Q5F934,fig|242231.10.peg.673,NEIS1273
NGO0571,YP_207716.1,3282528,Q5F933,fig|242231.10.peg.675,NEIS1271
NGO0572,YP_207717.1,3282525,Q5F932,fig|242231.10.peg.676,NEIS1270
NGO0573,YP_207718.1,3282242,Q5F931,fig|242231.10.peg.678,NEIS1269
NGO0574,YP_207719.1,3282155,Q5F930,fig|242231.10.peg.679,NEIS2650
NGO0575,YP_207720.1,3282905,Q5F929,fig|242231.10.peg.681,NEIS1267
NGO0578,YP_207721.1,3282904,Q5F928,fig|242231.10.peg.683,NEIS1263
NGO0579,YP_207722.1,3282903,Q5F927,fig|242231.10.peg.684,NEIS1262
NGO0580,YP_207723.1,3282257,Q5F926,fig|242231.10.peg.685,NEIS1261
NGO0581,YP_207724.1,3282311,Q5F925,fig|242231.10.peg.687,NEIS1260
NGO0582,YP_207725.1,3282384,Q5F924,fig|242231.10.peg.688,NEIS1259
NGO0583,YP_207726.1,3283073,Q5F923,fig|242231.10.peg.689,NEIS1258
NGO0584,YP_207727.1,3282246,Q5F922,fig|242231.10.peg.690,NEIS1257
NGO0585,YP_207728.1,3282250,Q5F921,fig|242231.10.peg.693,NEIS1256
NGO0586,YP_207729.1,3282297,Q5F920,fig|242231.10.peg.694,NEIS1255
NGO0587,YP_207730.1,3282226,#N/A,#N/A,#N/A
NGO0588,YP_207731.1,3282245,Q5F918,fig|242231.10.peg.696,NEIS1253
NGO0589,YP_207732.1,3282460,Q5F917,fig|242231.10.peg.697,NEIS1252
NGO0590,YP_207733.1,3281375,#N/A,fig|242231.10.peg.699,NEIS1251
NGO0592,YP_207734.1,3282902,Q5F915,fig|242231.10.peg.701,NEIS1250
NGO0593,YP_207735.1,3282554,Q5F914,fig|242231.10.peg.702,NEIS1248
NGO0594,YP_207736.1,3281243,Q5F913,fig|242231.10.peg.703,NEIS1247
NGO0595,YP_207737.1,3281181,Q5F912,fig|242231.10.peg.704,NEIS1246
NGO0596,YP_207738.1,3281098,Q5F911,fig|242231.10.peg.705,NEIS1245
NGO0597,YP_207739.1,3281283,#N/A,fig|242231.10.peg.707,NEIS1244
NGO0598,YP_207740.1,3282552,Q5F909,fig|242231.10.peg.708,NEIS1243
NGO0600,YP_207741.1,3281115,#N/A,fig|242231.10.peg.709,NEIS1242
NGO0602,YP_207742.1,3281382,Q5F907,fig|242231.10.peg.712,NEIS1240
NGO0603,YP_207743.1,3281436,#N/A,fig|242231.10.peg.713,NEIS1239
NGO0604,YP_207744.1,3281472,Q5F905,fig|242231.10.peg.714,NEIS1238
NGO0605,YP_207745.1,3281500,Q5F904,fig|242231.10.peg.716,NEIS1237
NGO0606,YP_207746.1,3281535,Q5F903,fig|242231.10.peg.718,NEIS1236
NGO0607,YP_207747.1,3281619,Q5F902,fig|242231.10.peg.719,NEIS1235
NGO0608,YP_207748.1,3281605,Q5F901,fig|242231.10.peg.720,NEIS1234
NGO0609,YP_207749.1,3281753,Q5F900,fig|242231.10.peg.721,NEIS1233
NGO0610,YP_207750.1,3281724,Q5F8Z9,fig|242231.10.peg.722,NEIS1232
NGO0611,YP_207751.1,3281750,Q5F8Z8,fig|242231.10.peg.723,NEIS1231
NGO0613,YP_207752.1,3281192,Q5F8Z7,fig|242231.10.peg.725,NEIS1229
NGO0614,YP_207753.1,3281267,Q5F8Z6,fig|242231.10.peg.727,NEIS1226
NGO0615,YP_207754.2,3282900,#N/A,fig|242231.10.peg.728,NEIS1223
NGO6151,YP_207755.1,3281078,Q5F8Z4,fig|242231.10.peg.729,NEIS1222
NGO0616,YP_207756.1,3281228,Q5F8Z3,fig|242231.10.peg.730,NEIS1221
NGO0617,YP_207757.1,3282141,Q5F8Z2,fig|242231.10.peg.731,NEIS1220
NGO0618,YP_207758.1,3282901,Q5F8Z1,fig|242231.10.peg.732,NEIS1219
NGO0619,YP_207759.1,3282895,Q5F8Z0,fig|242231.10.peg.733,NEIS1218
NGO0620,YP_207760.1,3282899,Q5F8Y9,fig|242231.10.peg.734,NEIS1216
NGO0621,YP_207761.1,3282898,#N/A,fig|242231.10.peg.735,#N/A
NGO0622,YP_207762.1,3282897,#N/A,fig|242231.10.peg.736,#N/A
NGO0623,YP_207763.1,3282896,Q5F8Y6,fig|242231.10.peg.737,NEIS1214
NGO0624,YP_207764.1,3282888,#N/A,fig|242231.10.peg.738,NEIS1213
NGO0625,YP_207765.1,3282894,Q5F8Y4,fig|242231.10.peg.739,#N/A
NGO0626,YP_207766.1,3282893,Q5F8Y3,fig|242231.10.peg.740,NEIS1212
NGO0627,YP_207767.1,3282890,Q5F8Y2,fig|242231.10.peg.741,NEIS1210
NGO0628,YP_207768.1,3282892,Q5F549,fig|242231.10.peg.742,#N/A
NGO0629,YP_207769.1,3282891,Q5F8Y0,fig|242231.10.peg.743,NEIS1320
NGO0630,YP_207770.1,3281249,#N/A,fig|242231.10.peg.744,NEIS1319
NGO0631,YP_207771.1,3281101,#N/A,#N/A,#N/A
NGO0632,YP_207772.1,3281279,Q5F8X7,fig|242231.10.peg.746,NEIS1318
NGO0633,YP_207773.1,3281368,Q5F8X6,fig|242231.10.peg.747,NEIS1317
NGO0635,YP_207774.1,3282889,#N/A,fig|242231.10.peg.749,NEIS2651
NGO0636,YP_207775.1,3281390,Q5F8X4,fig|242231.10.peg.750,NEIS1315
NGO0637,YP_207776.1,3281388,Q5F8X3,fig|242231.10.peg.751,NEIS1314
NGO0638,YP_207777.1,3281789,Q5F8X2,fig|242231.10.peg.752,NEIS2652
NGO0639,YP_207778.1,3281775,Q5F8X1,fig|242231.10.peg.753,NEIS1312
NGO0640,YP_207779.1,3281449,Q5F8X0,fig|242231.10.peg.754,NEIS1311
NGO0641,YP_207780.1,3281459,Q5F8W9,fig|242231.10.peg.755,#N/A
NGO0642,YP_207781.1,3281788,Q5F8W8,fig|242231.10.peg.756,NEIS1309
NGO0643,YP_207782.1,3281286,#N/A,fig|242231.10.peg.757,NEIS2883
NGO0644,YP_207783.1,3281282,Q5F8W6,fig|242231.10.peg.758,NEIS1308
NGO0645,YP_207784.1,3281483,Q5F8W5,fig|242231.10.peg.760,NEIS1307
NGO0646,YP_207785.1,3281412,Q5F8W4,fig|242231.10.peg.761,NEIS1306
NGO0647,YP_207786.1,3281594,Q5F8W3,fig|242231.10.peg.763,NEIS1305
NGO0648,YP_207787.1,3281772,Q5F8W2,fig|242231.10.peg.764,NEIS1304
NGO0649,YP_207788.1,3281804,Q5F8W1,fig|242231.10.peg.765,#N/A
NGO0650,YP_207789.1,3282557,Q5F8W0,fig|242231.10.peg.766,NEIS1303
NGO0651,YP_207790.1,3282561,#N/A,fig|242231.10.peg.767,NEIS1302
NGO0652,YP_207791.1,3282200,Q5F8V8,fig|242231.10.peg.768,NEIS1301
NGO0653,YP_207792.1,3282531,Q5F8V7,fig|242231.10.peg.770,NEIS1300
NGO0654,YP_207793.1,3282142,#N/A,fig|242231.10.peg.771,NEIS1299
NGO0655,YP_207794.1,3282507,Q5F8V5,fig|242231.10.peg.772,NEIS1298
NGO0656,YP_207795.1,3282508,Q5F8V4,fig|242231.10.peg.774,NEIS1297
NGO0657,YP_207796.1,3282412,#N/A,fig|242231.10.peg.775,NEIS1296
NGO0658,YP_207797.1,3282467,Q5F8V2,fig|242231.10.peg.777,NEIS1295
NGO0659,YP_207798.1,3282454,Q5F8V1,fig|242231.10.peg.779,NEIS1294
NGO0660,YP_207799.1,3281129,Q5F8V0,fig|242231.10.peg.780,NEIS1293
NGO0661,YP_207800.1,3281139,Q5F8U9,fig|242231.10.peg.781,NEIS1292
NGO0662,YP_207801.1,3282547,Q5F8U8,fig|242231.10.peg.782,NEIS1291
NGO0663,YP_207802.1,3281108,Q5F8U7,fig|242231.10.peg.783,NEIS1290
NGO0664,YP_207803.1,3282063,Q5F8U6,fig|242231.10.peg.784,NEIS1289
NGO0665,YP_207804.1,3282053,Q5F8U5,fig|242231.10.peg.785,NEIS1288
NGO0666,YP_207805.1,3282058,Q5F8U4,fig|242231.10.peg.786,NEIS1287
NGO0667,YP_207806.1,3282057,#N/A,fig|242231.10.peg.787,#N/A
NGO0668,YP_207807.1,3282060,Q5F8U2,fig|242231.10.peg.788,NEIS1286
NGO0669,YP_207808.1,3282059,Q5F8U1,fig|242231.10.peg.789,NEIS1285
NGO0670,YP_207809.1,3282065,Q5F8U0,fig|242231.10.peg.790,NEIS1284
